frame seq,bag timestamp,header timestamp,position x,position y,oritentation yaw,oritentation pitch,orientation roll,velocity,ego_lane
0,1638350234.996876032,1638350234.996876032,0,0,0,0,0,0,0
1,1638350235.042201088,1638350235.042201088,0,0,-9.83503e-05,0,0,0,0
2,1638350235.142150400,1638350235.142150400,0,0,-0.000400636,0,0,0,0
3,1638350235.242108928,1638350235.242108928,0,0,-0.000574522,0,0,0,0
4,1638350235.342081280,1638350235.342081280,0,0,-0.000807355,0,0,0,0
5,1638350235.442054400,1638350235.442054400,0,0,-0.00115035,0,0,0,0
6,1638350235.542017024,1638350235.542017024,0,0,-0.0014295,0,0,0,0
7,1638350235.641983232,1638350235.641983232,0,0,-0.00166743,0,0,0,0
8,1638350235.741951232,1638350235.741951232,0,0,-0.00188852,0,0,0,0
9,1638350235.841931776,1638350235.841931776,0,0,-0.00217378,0,0,0,0
10,1638350235.941906176,1638350235.941906176,5.80318e-05,-3.6481e-07,-0.00234757,0,0,0,0
11,1638350236.041883392,1638350236.041883392,0.00146314,-3.6634e-06,-0.00238258,0,0,0,0
12,1638350236.141861632,1638350236.141861632,0.00448509,-1.08634e-05,-0.00245805,0,0,0,0
13,1638350236.241845504,1638350236.241845504,0.00875673,-2.13634e-05,-0.00244097,0,0,0.233178,0
14,1638350236.341847040,1638350236.341847040,0.0378605,-2.25097e-05,-0.00232451,0,0,0.413799,0
15,1638350236.441860352,1638350236.441860352,0.0851341,-0.000132398,-0.002249,0,0,0.526795,0
16,1638350236.541867264,1638350236.541867264,0.109434,-0.000254778,-0.00211541,0,0,0.64994,0
17,1638350236.641871616,1638350236.641871616,0.180265,-0.000404615,-0.00206281,0,0,0.755029,0
18,1638350236.741865216,1638350236.741865216,0.260552,-0.000570231,-0.00214403,0,0,0.843991,0
19,1638350236.841851392,1638350236.841851392,0.348583,-0.000758973,-0.00205569,0,0,0.944161,0
20,1638350236.941839104,1638350236.941839104,0.448186,-0.000916244,-0.00125066,0,0,1.07284,0
21,1638350237.041838592,1638350237.041838592,0.561521,-0.000961187,0.000383044,0,0,1.16857,0
22,1638350237.141846016,1638350237.141846016,0.682657,-0.000887491,0.000863062,0,0,1.25449,0
23,1638350237.241817600,1638350237.241817600,0.813669,-0.000796747,0.000612847,0,0,1.31913,0
24,1638350237.341783040,1638350237.341783040,0.950127,-0.000631365,0.001784,0,0,1.39744,0
25,1638350237.441777920,1638350237.441777920,1.09379,-0.000245041,0.00360389,0,0,1.47413,0
26,1638350237.541765376,1638350237.541765376,1.24431,0.000371203,0.00468335,0,0,1.56282,0
27,1638350237.641755904,1638350237.641755904,1.40356,0.0011959,0.00559256,0,0,1.6422,0
28,1638350237.741749504,1638350237.741749504,1.57168,0.0022785,0.00727407,0,0,1.75001,0
29,1638350237.841745408,1638350237.841745408,1.75103,0.00374398,0.0091124,0,0,1.84759,0
30,1638350237.941743616,1638350237.941743616,1.94071,0.00563327,0.0108265,0,0,1.93912,0
31,1638350238.041731072,1638350238.041731072,2.13953,0.00795686,0.0125564,0,0,2.0325,0
32,1638350238.141721344,1638350238.141721344,2.34759,0.0108157,0.0149584,0,0,2.15728,0
33,1638350238.241713920,1638350238.241713920,2.56733,0.0143089,0.0168533,0,0,2.21882,0
34,1638350238.341701632,1638350238.341701632,2.79381,0.0183314,0.0187205,0,0,2.28157,0
35,1638350238.441763328,1638350238.441763328,3.02658,0.0229895,0.0212938,0,0,2.40483,0
36,1638350238.541810176,1638350238.541810176,3.27108,0.0284951,0.023737,0,0,2.48782,0
37,1638350238.641852928,1638350238.641852928,3.52448,0.0347383,0.0255931,0,0,2.58483,0
38,1638350238.741881344,1638350238.741881344,3.78732,0.0418162,0.0282431,0,0,2.69425,0
39,1638350238.841939200,1638350238.841939200,4.06133,0.0500676,0.0319351,0,0,2.77927,0
40,1638350238.942001664,1638350238.942001664,4.34318,0.0594039,0.0342375,0,0,2.84361,0
41,1638350239.042049536,1638350239.042049536,4.63197,0.0696038,0.0363735,0,0,2.88693,0
42,1638350239.142103552,1638350239.142103552,4.92539,0.0807243,0.0393903,0,0,2.99408,0
43,1638350239.242171392,1638350239.242171392,5.22926,0.0931466,0.0423305,0,0,3.02846,0
44,1638350239.342203392,1638350239.342203392,5.53621,0.106408,0.0440687,0,0,3.20279,0
45,1638350239.442202368,1638350239.442202368,5.86031,0.121058,0.0461528,0,0,3.21597,0
46,1638350239.542185472,1638350239.542185472,6.18557,0.136567,0.0490895,0,0,3.24402,0
47,1638350239.642167296,1638350239.642167296,6.51287,0.153044,0.0515092,0,0,3.22681,0
48,1638350239.742170368,1638350239.742170368,6.83688,0.17013,0.053898,0,0,3.25509,0
49,1638350239.842157312,1638350239.842157312,7.16186,0.187859,0.0550245,0,0,3.2966,0
50,1638350239.942118912,1638350239.942118912,7.491,0.206186,0.0562531,0,0,3.35754,0
51,1638350240.042092800,1638350240.042092800,7.82659,0.225475,0.0585463,0,0,3.40017,0
52,1638350240.142052096,1638350240.142052096,8.16598,0.245607,0.0599706,0,0,3.41755,0
53,1638350240.242022656,1638350240.242022656,8.5077,0.266408,0.0615872,0,0,3.41048,0
54,1638350240.342008832,1638350240.342008832,8.84851,0.287686,0.0631349,0,0,3.35636,0
55,1638350240.441980160,1638350240.441980160,9.18479,0.30919,0.0645793,0,0,3.50754,0
56,1638350240.541998848,1638350240.541998848,9.53619,0.332455,0.0676088,0,0,3.46992,0
57,1638350240.642017024,1638350240.642017024,9.88274,0.356043,0.0683502,0,0,3.47585,0
58,1638350240.742031360,1638350240.742031360,10.2296,0.379871,0.0686948,0,0,3.44933,0
59,1638350240.842046720,1638350240.842046720,10.574,0.403639,0.0692534,0,0,3.38715,0
60,1638350240.942037760,1638350240.942037760,10.9119,0.42717,0.0696366,0,0,3.40994,0
61,1638350241.042014976,1638350241.042014976,11.252,0.450795,0.0691123,0,0,3.46663,0
62,1638350241.141987840,1638350241.141987840,11.5977,0.474622,0.0687816,0,0,3.42652,0
