header timestamp,position x,position y,oritentation yaw,velocity
1638350234.996876,0.0,0.0,0.0,0.0
1638350235.042201,0.0,0.0,-9.83503e-05,0.0
1638350235.1421504,0.0,0.0,-0.000400636,0.0
1638350235.2421088,0.0,0.0,-0.000574522,0.0
1638350235.3420813,0.0,0.0,-0.000807355,0.0
1638350235.4420545,0.0,0.0,-0.00115035,0.0
1638350235.542017,0.0,0.0,-0.0014295,0.0
1638350235.6419833,0.0,0.0,-0.00166743,0.0
1638350235.7419512,0.0,0.0,-0.00188852,0.0
1638350235.8419316,0.0,0.0,-0.00217378,0.0
1638350235.941906,5.80318e-05,-3.6481e-07,-0.00234757,0.0
1638350236.0418832,0.00146314,-3.6634e-06,-0.00238258,0.0
1638350236.1418617,0.00448509,-1.08634e-05,-0.00245805,0.0
1638350236.2418456,0.00875673,-2.13634e-05,-0.00244097,0.233178
1638350236.341847,0.0378605,-2.25097e-05,-0.00232451,0.413799
1638350236.4418604,0.0851341,-0.000132398,-0.002249,0.526795
1638350236.5418673,0.109434,-0.000254778,-0.00211541,0.64994
1638350236.6418717,0.180265,-0.000404615,-0.00206281,0.755029
1638350236.7418652,0.260552,-0.000570231,-0.00214403,0.843991
1638350236.8418512,0.348583,-0.000758973,-0.00205569,0.944161
1638350236.9418392,0.448186,-0.000916244,-0.00125066,1.07284
1638350237.0418384,0.561521,-0.000961187,0.000383044,1.16857
1638350237.141846,0.682657,-0.000887491,0.000863062,1.25449
1638350237.2418177,0.813669,-0.000796747,0.000612847,1.31913
1638350237.341783,0.950127,-0.000631365,0.001784,1.39744
1638350237.441778,1.09379,-0.000245041,0.00360389,1.47413
1638350237.5417652,1.24431,0.000371203,0.00468335,1.56282
1638350237.641756,1.40356,0.0011959,0.00559256,1.6422
1638350237.7417495,1.57168,0.0022785,0.00727407,1.75001
1638350237.8417454,1.75103,0.00374398,0.0091124,1.84759
1638350237.9417436,1.94071,0.00563327,0.0108265,1.93912
1638350238.041731,2.13953,0.00795686,0.0125564,2.0325
1638350238.1417212,2.34759,0.0108157,0.0149584,2.15728
1638350238.241714,2.56733,0.0143089,0.0168533,2.21882
1638350238.3417015,2.79381,0.0183314,0.0187205,2.28157
1638350238.4417632,3.02658,0.0229895,0.0212938,2.40483
1638350238.54181,3.27108,0.0284951,0.023737,2.48782
1638350238.6418529,3.52448,0.0347383,0.0255931,2.58483
1638350238.7418811,3.78732,0.0418162,0.0282431,2.69425
1638350238.8419392,4.06133,0.0500676,0.0319351,2.77927
1638350238.9420016,4.34318,0.0594039,0.0342375,2.84361
1638350239.0420496,4.63197,0.0696038,0.0363735,2.88693
1638350239.1421037,4.92539,0.0807243,0.0393903,2.99408
1638350239.2421713,5.22926,0.0931466,0.0423305,3.02846
1638350239.3422031,5.53621,0.106408,0.0440687,3.20279
1638350239.4422023,5.86031,0.121058,0.0461528,3.21597
1638350239.5421853,6.18557,0.136567,0.0490895,3.24402
1638350239.642167,6.51287,0.153044,0.0515092,3.22681
1638350239.7421703,6.83688,0.17013,0.053898,3.25509
1638350239.8421571,7.16186,0.187859,0.0550245,3.2966
1638350239.942119,7.491,0.206186,0.0562531,3.35754
1638350240.0420928,7.82659,0.225475,0.0585463,3.40017
1638350240.142052,8.16598,0.245607,0.0599706,3.41755
1638350240.2420225,8.5077,0.266408,0.0615872,3.41048
1638350240.3420088,8.84851,0.287686,0.0631349,3.35636
1638350240.44198,9.18479,0.30919,0.0645793,3.50754
1638350240.5419989,9.53619,0.332455,0.0676088,3.46992
1638350240.642017,9.88274,0.356043,0.0683502,3.47585
1638350240.742031,10.2296,0.379871,0.0686948,3.44933
1638350240.8420467,10.574,0.403639,0.0692534,3.38715
1638350240.9420376,10.9119,0.42717,0.0696366,3.40994
1638350241.0420148,11.252,0.450795,0.0691123,3.46663
1638350241.1419878,11.5977,0.474622,0.0687816,3.42652
1638350241.2419524,11.9393,0.498073,0.06861,3.46158
1638350241.341936,12.2846,0.521928,0.0692334,3.42766
1638350241.441898,12.6262,0.545414,0.0680519,3.4543
1638350241.5418808,12.9708,0.568899,0.0680436,3.45194
1638350241.6418762,13.315,0.592305,0.0676693,3.46585
1638350241.7418609,13.6607,0.615622,0.0669489,3.44141
1638350241.84186,14.0041,0.63856,0.0663419,3.46353
1638350241.9418468,14.3496,0.661298,0.0651037,3.42161
1638350242.0418265,14.6911,0.683424,0.0641497,3.45513
1638350242.1418092,15.0363,0.70552,0.0639658,3.45132
1638350242.2417738,15.3806,0.727421,0.0632192,3.40169
1638350242.3417587,15.72,0.748761,0.0624311,3.40471
1638350242.441743,16.0595,0.769832,0.0615298,3.4319
1638350242.5417218,16.4017,0.790715,0.0603981,3.40925
1638350242.6417089,16.742,0.811163,0.0596877,3.4413
1638350242.7416852,17.0854,0.831573,0.0590613,3.43084
1638350242.8416643,17.428,0.851701,0.0582801,3.47592
1638350242.9416409,17.7751,0.871751,0.0572002,3.35996
1638350243.0416236,18.1104,0.89088,0.056595,3.42002
1638350243.141608,18.452,0.910017,0.0552862,3.41688
1638350243.2415771,18.793,0.92872,0.0542813,3.4233
1638350243.341546,19.1348,0.947162,0.0534725,3.38992
1638350243.4415681,19.4733,0.965003,0.051849,3.38586
1638350243.5415735,19.8112,0.982388,0.0510466,3.36448
1638350243.6416068,20.147,0.999427,0.050435,3.37492
1638350243.7416184,20.4843,1.01628,0.0494368,3.37433
1638350243.841664,20.8222,1.03291,0.0489705,3.37468
1638350243.9417076,21.16,1.04931,0.0480266,3.4076
1638350244.041752,21.5006,1.06552,0.046964,3.4061
1638350244.1418064,21.8413,1.08146,0.0464288,3.38742
1638350244.2418623,22.1799,1.09709,0.0457756,3.38336
1638350244.3419087,22.5179,1.11246,0.0451696,3.39455
1638350244.441922,22.857,1.12769,0.0447975,3.37627
1638350244.5418863,23.1941,1.14269,0.0441987,3.36223
1638350244.641847,23.5299,1.15759,0.0439955,3.38614
1638350244.7418222,23.8682,1.17248,0.04396,3.43272
1638350244.8417892,24.211,1.18747,0.0434489,3.37733
1638350244.9417467,24.5489,1.20205,0.0427664,3.37193
1638350245.0417016,24.8859,1.21647,0.0426922,3.36182
1638350245.1416657,25.2218,1.23082,0.0427794,3.42315
1638350245.241635,25.5634,1.24544,0.0428019,3.42559
1638350245.3415956,25.905,1.26004,0.0425172,3.43825
1638350245.4415736,26.2468,1.27472,0.0423264,3.40888
1638350245.541552,26.5872,1.28913,0.0422708,3.48558
1638350245.6415353,26.935,1.30391,0.0427114,3.45806
1638350245.7415128,27.2804,1.31863,0.0423647,3.52764
1638350245.84148,27.6326,1.33366,0.0427672,3.46723
1638350245.941463,27.9793,1.34858,0.0434042,3.46604
1638350246.0414612,28.3256,1.36372,0.0440549,3.48862
1638350246.1414466,28.6741,1.37902,0.0437639,3.49245
1638350246.2414339,29.0229,1.39423,0.0436392,3.43028
1638350246.3414288,29.3658,1.40923,0.0440407,3.47309
1638350246.4414244,29.7127,1.42446,0.0437713,3.4649
1638350246.541423,30.0594,1.43949,0.0436321,3.44714
1638350246.641416,30.4037,1.45464,0.0440733,3.48054
