header timestamp,object.id,class_label_pred,pose.position.x,pose.position.y,pose.position.z,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z,velocity.linear.x,velocity.angular.z,yaw,dimension_x,dimension_y,dimension_z
1572937772.91768,99,Null,-16.505375,-3.929482,0.5,0.999998,0,0,-0.002084,30.278513,0,-0.004168,4.095846,1.421712,1
1572937772.91768,98,Null,53.81871,0.172365,0.5,1,0,0,0.000233,36.100445,0,0.000465,4.472491,1.582816,1
1572937772.91768,115,Null,-58.551228,-1.587729,0.5,0.999999,0,0,-0.00166,31.715525,0,-0.003321,0.467884,1.426202,1
1572937772.91768,102,Null,13.31569,-4.16605,0.5,0.999998,0,0,-0.001787,28.6565,0,-0.003575,4.281078,1.586884,1
1572937773.01760,99,Null,-16.497007,-3.909628,0.5,0.999998,0,0,-0.002019,30.243849,0,-0.004039,4.095846,1.421712,1
1572937773.01760,98,Null,54.550316,0.102595,0.5,1,0,0,0.000341,36.093292,0,0.000682,4.472491,1.582816,1
1572937773.01760,115,Null,-58.405518,-1.595525,0.5,0.999999,0,0,-0.001494,31.649946,0,-0.002987,0.467884,1.426202,1
1572937773.01760,102,Null,13.18646,-4.151274,0.5,0.999998,0,0,-0.001852,28.617237,0,-0.003704,4.281078,1.586884,1
1572937773.11748,99,Null,-16.48864,-3.889774,0.5,0.999998,0,0,-0.001955,30.215889,0,-0.00391,4.095846,1.421712,1
1572937773.11748,98,Null,55.038723,0.032825,0.5,1,0,0,0.000449,36.095596,0,0.000898,4.472491,1.582816,1
1572937773.11748,115,Null,-58.259808,-1.603321,0.5,0.999999,0,0,-0.001327,31.60038,0,-0.002653,0.467884,1.426202,1
1572937773.11748,102,Null,13.057231,-4.136497,0.5,0.999998,0,0,-0.001917,28.610123,0,-0.003834,4.281078,1.586884,1
1572937773.21748,98,Motorcycle,55.772343,-0.036946,2.700513,1,0,0,0.000666,8.197165,0.001289,0.001331,4.472491,1.582816,1
1572937773.21748,99,Null,-16.480272,-3.86992,0.5,0.999998,0,0,-0.001891,30.16563,0,-0.003782,4.095846,1.421712,1
1572937773.21748,98,Null,55.772343,-0.036946,2.700513,1,0,0,0.000666,36.109436,0,0.001331,4.472491,1.582816,1
1572937773.21748,115,Null,-58.114094,-1.611117,0.5,0.999999,0,0,-0.00116,31.541422,0,-0.00232,0.467884,1.426202,1
1572937773.21748,102,Null,12.928002,-4.12172,0.5,0.999998,0,0,-0.001982,28.629129,0,-0.003964,4.281078,1.586884,1
1572937773.31696,98,Motorcycle,56.263676,-0.106716,2.676981,1,0,0,0.000774,36.124149,0,0.001548,4.472491,1.582816,1
